ticker,yahoo_symbol,status,reason,n_rows,first_date,last_date,expected_sessions,completeness,in_fincall,fincall_calls,in_maec,maec_calls
MDU,MDU,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
MDXG,MDXG,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MED,MED,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
MET,MET,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,5,True,1
MGLN,MGLN,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
MGM,MGM,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,6,True,3
MHK,MHK,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,8,True,2
MHLD,MHLD,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,2
MHO,MHO,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
MIK,MIK,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
MINI,MINI,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
MKC,MKC,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,8,False,0
MKSI,MKSI,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MKTX,MKTX,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,True,3
MLM,MLM,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,True,2
MMC,MMC,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
MMM,MMM,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,9,True,6
MMS,MMS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
MMSI,MMSI,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MNK,MNK,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
MNRO,MNRO,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MNST,MNST,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MNTA,MNTA,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,4
MO,MO,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,8,True,3
MOH,MOH,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,1,True,2
MON,MON,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,5
MOR,MOR,ok,,1058,2018-04-19,2022-06-30,1058,1.0,True,1,False,0
MOS,MOS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,3,True,1
MOV,MOV,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,8
MPAA,MPAA,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MPC,MPC,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,10,False,0
MPW,MPW,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
MPWR,MPWR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,1,True,4
MRCY,MRCY,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
MRK,MRK,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,True,3
MRNA,MRNA,ok,,896,2018-12-07,2022-06-29,896,1.0,True,3,False,0
MRO,MRO,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
MRSH,MRSH,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,False,0
MS,MS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,2,True,2
MSCC,MSCC,ok,,1005,2014-06-02,2018-05-29,1006,0.999,False,0,True,2
MSCI,MSCI,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,8,True,1
MSFT,MSFT,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,9,True,5
MSI,MSI,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,10,True,5
MSM,MSM,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MSTR,MSTR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
MTD,MTD,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,6,True,5
MTDR,MTDR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MTG,MTG,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,2,False,0
MTH,MTH,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MTRX,MTRX,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
MTSC,MTSC,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
MTX,MTX,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MU,MU,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,True,5
MUR,MUR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,6,True,1
MUSA,MUSA,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
MXL,MXL,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
MYE,MYE,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
MYGN,MYGN,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
MYL,MYL,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,2
NATI,NATI,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,6
NAVG,NAVG,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,2
NAVI,NAVI,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,1,False,0
NBHC,NBHC,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
NBL,NBL,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,2
NBR,NBR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
NCI,NCI,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,2
NCLH,NCLH,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,True,1
NCR,NCR,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
NDAQ,NDAQ,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,11,True,3
NDSN,NDSN,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,2,True,1
NEE,NEE,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
NEM,NEM,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,3,True,3
NEOG,NEOG,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
NEU,NEU,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
NEWM,NEWM,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
NFG,NFG,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
NGVT,NGVT,ok,,1551,2016-05-03,2022-06-29,1551,1.0,False,0,True,1
NI,NI,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,True,6
NJR,NJR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
NKE,NKE,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
NKTR,NKTR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
NLS,NLS,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
NLSN,NLSN,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
