call_id,ticker,date,split,horizon,y_true,y_pred,y_persistence
APD_2020_Q3_20200723,APD,2020-07-23,train,30,-4.3471000941560245,,-3.9359796299200416
APD_2020_Q4_20201111,APD,2020-11-11,train,30,-3.7403231147161136,,-4.082421526167501
APD_2021_Q1_20210204,APD,2021-02-04,train,30,-4.031286738588362,,-4.041639792931625
APD_2021_Q2_20210510,APD,2021-05-10,train,30,-4.54520634525058,,-4.469916906971914
APD_2021_Q3_20210809,APD,2021-08-09,train,30,-4.38246031758416,,-4.862076192932794
APD_2021_Q4_20211104,APD,2021-11-04,train,30,-4.54436182218177,,-4.583709976234712
AVGO_2019_Q1_20190314,AVGO,2019-03-14,val,30,-4.029265322055397,,-4.354987179462358
AVGO_2019_Q2_20190613,AVGO,2019-06-13,train,30,-3.870531047925424,,-3.852806107241392
AVGO_2019_Q3_20190912,AVGO,2019-09-12,train,30,-4.191325285807987,,-3.832849257644244
AVGO_2019_Q4_20191212,AVGO,2019-12-12,train,30,-4.037104670933008,,-4.336656722631006
AVGO_2020_Q1_20200312,AVGO,2020-03-12,train,30,-2.652933343355886,,-3.3278227166309
AVGO_2020_Q2_20200604,AVGO,2020-06-04,train,30,-3.897166789209856,,-3.826842839177591
AVGO_2020_Q3_20200903,AVGO,2020-09-03,train,30,-4.076865983814492,,-3.988663941714516
AVGO_2020_Q4_20201210,AVGO,2020-12-10,train,30,-4.246011800242642,,-4.065519536437523
AVGO_2021_Q1_20210304,AVGO,2021-03-04,train,30,-3.6634914529420106,,-3.780711179137496
AVGO_2021_Q2_20210603,AVGO,2021-06-03,train,30,-4.408512607166658,,-4.042722684164607
AVGO_2021_Q3_20210902,AVGO,2021-09-02,train,30,-4.408407171304198,,-4.709118451519378
AVGO_2021_Q4_20211209,AVGO,2021-12-09,train,30,-3.6825589756261103,,-4.212128458715057
AXP_2018_Q4_20190117,AXP,2019-01-17,train,30,-5.043981249995193,,-3.860614324147843
AXP_2019_Q1_20190418,AXP,2019-04-18,train,30,-4.515097632233762,,-4.681354316586242
AXP_2019_Q2_20190719,AXP,2019-07-19,train,30,-4.173940387688815,,-4.950334261274401
AXP_2019_Q3_20191018,AXP,2019-10-18,train,30,-4.685522085741742,,-4.503944335513173
AXP_2019_Q4_20200124,AXP,2020-01-24,val,30,-3.5855083865399,,-4.774941504373044
AXP_2020_Q1_20200424,AXP,2020-04-24,val,30,-3.195048673456915,,-2.479280023696866
AXP_2020_Q2_20200724,AXP,2020-07-24,train,30,-4.1062047509675725,,-3.727516947605268
AXP_2020_Q3_20201023,AXP,2020-10-23,val,30,-3.111458712077752,,-3.942853190782539
AXP_2020_Q4_20210126,AXP,2021-01-26,train,30,-3.862912235931971,,-4.102045010575934
AXP_2021_Q1_20210423,AXP,2021-04-23,val,30,-4.351544489868545,,-4.310722524238894
AXP_2021_Q2_20210723,AXP,2021-07-23,train,30,-4.40525901075442,,-4.004814258297146
AXP_2021_Q3_20211022,AXP,2021-10-22,train,30,-3.740055274938461,,-4.076576185184222
BA_2018_Q4_20190130,BA,2019-01-30,train,30,-3.8120372347743694,,-3.729083470200364
BA_2019_Q1_20190424,BA,2019-04-24,train,30,-4.140086877071664,,-3.9101659958113806
BA_2019_Q2_20190724,BA,2019-07-24,train,30,-3.948688539701895,,-4.010703787332962
BA_2019_Q3_20191023,BA,2019-10-23,train,30,-4.1609354164454455,,-3.996470765397426
BA_2019_Q4_20200129,BA,2020-01-29,train,30,-3.050375642026476,,-4.0818750094421015
