dataset,split,target,horizon,segment,model,condition,n,r2_oos,mse
fincall,combined,v,30,test,mlp_pastvol,within_shuffle,92,-0.4012573271817357,0.15003939589254242
fincall,combined,v,30,test,mlp_text,global_shuffle,92,-5.740548196323159,0.7217430801200204
fincall,combined,v,30,test,mlp_text,real,92,-8.26192610153864,0.9917192011200074
fincall,combined,v,30,test,mlp_text,within_shuffle,92,-7.992081158692974,0.9628255986218489
fincall,combined,v,30,test,mlp_text_pastvol,global_shuffle,92,-6.112562687776903,0.761576470089336
fincall,combined,v,30,test,mlp_text_pastvol,real,92,-8.005231089208523,0.9642336252507266
fincall,combined,v,30,test,mlp_text_pastvol,within_shuffle,92,-7.853529443079317,0.9479901966529911
fincall,combined,v,30,test,ridge_pastvol,global_shuffle,92,-0.30211224923005764,0.1394234531152744
fincall,combined,v,30,test,ridge_pastvol,real,92,-0.30211224923005764,0.1394234531152744
fincall,combined,v,30,test,ridge_pastvol,within_shuffle,92,-0.30211224923005764,0.1394234531152744
fincall,combined,v,30,test,ridge_text,global_shuffle,92,-1.697873348192561,0.2888743412828583
fincall,combined,v,30,test,ridge_text,real,92,-1.126816771530121,0.22772855305335385
fincall,combined,v,30,test,ridge_text,within_shuffle,92,-1.1295978311482413,0.2280263345506918
fincall,combined,v,30,test,ridge_text_pastvol,global_shuffle,92,-1.4210208375067985,0.259230404620511
fincall,combined,v,30,test,ridge_text_pastvol,real,92,-0.9232545745822156,0.2059321645784044
fincall,combined,v,30,test,ridge_text_pastvol,within_shuffle,92,-0.9295391503780557,0.20660508448937123
fincall,combined,v,30,test,ticker_only,real,92,-0.9754259602765527,0.2115184070483715
fincall,temporal,dv,3,test,mlp_pastvol,global_shuffle,481,0.3897846101756477,0.7165696423405477
fincall,temporal,dv,3,test,mlp_pastvol,real,481,0.3897846101756477,0.7165696423405477
fincall,temporal,dv,3,test,mlp_pastvol,within_shuffle,481,0.3897846101756477,0.7165696423405477
fincall,temporal,dv,3,test,mlp_text,global_shuffle,481,-0.3522915281272252,1.5879820024355724
fincall,temporal,dv,3,test,mlp_text,real,481,-0.10834701855755635,1.3015204793599349
fincall,temporal,dv,3,test,mlp_text,within_shuffle,481,-0.12329201393688027,1.3190702333850273
fincall,temporal,dv,3,test,mlp_text_pastvol,global_shuffle,481,-1.455619167891626,2.8836082770170623
