dataset,horizon,run,mse,mse_single,mse_mean,mse_std,mse_best,published_mse,published_std,text_embedding
16,7,2,0.26356241106987,1.576322317123413,0.288402171432972,0.039678570376976335,0.2137277573347091,0.279,0.0442,regenerated_bert_base_pooler
16,7,3,0.3106402456760406,1.868776559829712,0.288402171432972,0.039678570376976335,0.2137277573347091,0.279,0.0442,regenerated_bert_base_pooler
16,7,4,0.2137277573347091,1.5194517374038696,0.288402171432972,0.039678570376976335,0.2137277573347091,0.279,0.0442,regenerated_bert_base_pooler
16,7,5,0.2637358009815216,1.6086763143539429,0.288402171432972,0.039678570376976335,0.2137277573347091,0.279,0.0442,regenerated_bert_base_pooler
16,7,6,0.3212590217590332,1.485869526863098,0.288402171432972,0.039678570376976335,0.2137277573347091,0.279,0.0442,regenerated_bert_base_pooler
16,7,7,0.3026979863643646,1.5609657764434814,0.288402171432972,0.039678570376976335,0.2137277573347091,0.279,0.0442,regenerated_bert_base_pooler
16,7,8,0.2936407923698425,1.5352920293807983,0.288402171432972,0.039678570376976335,0.2137277573347091,0.279,0.0442,regenerated_bert_base_pooler
16,7,9,0.342701107263565,1.5069267749786377,0.288402171432972,0.039678570376976335,0.2137277573347091,0.279,0.0442,regenerated_bert_base_pooler
16,15,0,0.3545941412448883,1.7931257486343384,0.36342779099941247,0.03783680603381702,0.3103010058403015,0.303,0.0365,regenerated_bert_base_pooler
16,15,1,0.3832549750804901,1.9839469194412231,0.36342779099941247,0.03783680603381702,0.3103010058403015,0.303,0.0365,regenerated_bert_base_pooler
16,15,2,0.3979650735855102,1.7903603315353394,0.36342779099941247,0.03783680603381702,0.3103010058403015,0.303,0.0365,regenerated_bert_base_pooler
16,15,3,0.327189028263092,1.7024928331375122,0.36342779099941247,0.03783680603381702,0.3103010058403015,0.303,0.0365,regenerated_bert_base_pooler
16,15,4,0.3674506843090057,1.7578829526901243,0.36342779099941247,0.03783680603381702,0.3103010058403015,0.303,0.0365,regenerated_bert_base_pooler
16,15,5,0.3103010058403015,1.7868409156799316,0.36342779099941247,0.03783680603381702,0.3103010058403015,0.303,0.0365,regenerated_bert_base_pooler
16,15,6,0.4106831848621368,1.7837613821029663,0.36342779099941247,0.03783680603381702,0.3103010058403015,0.303,0.0365,regenerated_bert_base_pooler
16,15,7,0.3135141432285309,1.935855865478516,0.36342779099941247,0.03783680603381702,0.3103010058403015,0.303,0.0365,regenerated_bert_base_pooler
16,15,8,0.4115185141563415,1.934149384498596,0.36342779099941247,0.03783680603381702,0.3103010058403015,0.303,0.0365,regenerated_bert_base_pooler
16,15,9,0.3578071594238281,1.7471673488616943,0.36342779099941247,0.03783680603381702,0.3103010058403015,0.303,0.0365,regenerated_bert_base_pooler
