dataset,stratum,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_har,dm_p_vs_stage1,dm_p_vs_stage2
earnings25,64k,ticker_disjoint,v,15,mlp_emotion2vec_audio_pastvol,test,39,1.9315703371243777e+22,106099268648.60846,-1.1329615821497698e+23,0.010728744939271256,7.439432381357865e+21,0.0009440895160411564,0.0009440895160411564,0.0009440895160411564,0.0009440895160411564
earnings25,64k,ticker_disjoint,v,15,mlp_emotion2vec_audio_pastvol,val,27,8.062322986561491e+21,69053493305.82178,-3.739631439251433e+22,0.6476923076923077,7.439432381357865e+21,0.0016218122149948314,0.0016218122149948314,0.0016218122149948314,0.0016218122149948314
earnings25,64k,ticker_disjoint,v,15,mlp_wavlm_audio,test,39,2.4438291154153744e+26,11550047381469.693,-1.4334267035942725e+27,0.014170040485829961,3.848567790937663e+25,0.00047249379165692653,0.00047249379165692653,0.00047249379165692653,0.00047249379165692653
earnings25,64k,ticker_disjoint,v,15,mlp_wavlm_audio,val,27,1.681692199865006e+26,11037522789359.357,-7.800368494590966e+26,0.5038461538461538,3.848567790937663e+25,0.00010499197032794432,0.00010499197032794432,0.00010499197032794432,0.00010499197032794432
earnings25,64k,ticker_disjoint,v,15,mlp_wavlm_audio_pastvol,test,39,2.155344763517958e+26,10868772615792.156,-1.2642163562052496e+27,0.015789473684210527,6.315498783173314e+25,0.00042421844380369504,0.00042421844380369504,0.00042421844380369504,0.00042421844380369504
earnings25,64k,ticker_disjoint,v,15,mlp_wavlm_audio_pastvol,val,27,1.5019850129634654e+26,10413762032225.295,-6.966813888658399e+26,0.5096153846153846,6.315498783173314e+25,0.0001225174633284077,0.0001225174633284077,0.0001225174633284077,0.0001225174633284077
earnings25,64k,ticker_disjoint,v,15,mlp_wavlm_egemaps_audio,test,39,1.523393002776173e+26,8722028009034.936,-8.935453778145507e+26,-0.022469635627530363,2.057557379969524e+25,0.002386734363431584,0.002386734363431584,0.002386734363431584,0.002386734363431584
earnings25,64k,ticker_disjoint,v,15,mlp_wavlm_egemaps_audio,val,27,8.538329886148983e+25,7981455167167.337,-3.960422688865854e+26,0.4842307692307692,2.057557379969524e+25,7.6238163868542206e-06,7.6238163868542206e-06,7.6238163868542206e-06,7.6238163868542206e-06
earnings25,64k,ticker_disjoint,v,15,mlp_wavlm_egemaps_audio_pastvol,test,39,9.02264114635457e+25,6656579462505.073,-5.292225497499577e+26,-0.02854251012145749,4.232554394903702e+25,0.0029060292883674593,0.0029060292883674593,0.0029060292883674593,0.0029060292883674593
earnings25,64k,ticker_disjoint,v,15,mlp_wavlm_egemaps_audio_pastvol,val,27,4.908600781633196e+25,6051229542307.664,-2.2768075449627306e+26,0.48461538461538456,4.232554394903702e+25,5.690169202440411e-06,5.690169202440411e-06,5.690169202440411e-06,5.690169202440411e-06
earnings25,64k,ticker_disjoint,v,15,mlp_wavlm_text_audio_pastvol,test,39,1.3757732617113238e+26,9442562904428.713,-8.069590950481875e+26,-0.17105263157894737,5.967410029562114e+25,0.0001610814597461974,0.0001610814597461974,0.0001610814597461974,0.0001610814597461974
earnings25,64k,ticker_disjoint,v,15,mlp_wavlm_text_audio_pastvol,val,27,1.0392188707168356e+26,8440320058740.823,-4.820317379586301e+26,-0.37807692307692303,5.967410029562114e+25,0.0002700963341051291,0.0002700963341051291,0.0002700963341051291,0.0002700963341051291
earnings25,64k,ticker_disjoint,v,15,ridge_egemaps_audio,test,39,0.1748905226303937,0.3458507173255278,-0.025819455880223607,0.2923076923076923,,0.9184155325784091,0.05477733457698348,0.02537098842388713,0.5112037396717363
earnings25,64k,ticker_disjoint,v,15,ridge_egemaps_audio,val,27,0.2717932087981271,0.39137937721747057,-0.26068681481835965,0.5742307692307692,,0.39219114962218243,0.0725312740051705,0.021731022205786335,0.02299826152364654
earnings25,64k,ticker_disjoint,v,15,ridge_egemaps_audio_pastvol,test,39,0.12878389553384811,0.2913916732796824,0.24461872687143082,0.6763157894736843,,0.15701150998547128,0.5703142698025977,0.3783878240301015,0.41077858149234864
earnings25,64k,ticker_disjoint,v,15,ridge_egemaps_audio_pastvol,val,27,0.2061130488094969,0.3647947411248938,0.043964328081709025,-0.3288461538461538,,0.8132456585108007,0.39506998003597915,0.031164952134825397,0.03434102628107329
earnings25,64k,ticker_disjoint,v,15,ridge_emotion2vec_audio,test,39,0.17628414489207034,0.3453072826561226,-0.0339937400476793,0.2708502024291498,,0.8965108888708849,0.05208347743684305,0.026234825897645083,0.45363601895650013
earnings25,64k,ticker_disjoint,v,15,ridge_emotion2vec_audio,val,27,0.2818018856847303,0.41421173192842947,-0.3071111056993352,-0.45730769230769225,,0.2959684971140524,0.029115533636775992,0.008945794397323438,0.011615590615964738
earnings25,64k,ticker_disjoint,v,15,ridge_emotion2vec_audio_pastvol,test,39,0.1247174757143626,0.2844448424209264,0.26847029128936595,0.5993927125506073,,0.19486308622221363,0.614874094507782,0.4076307135712136,0.28505389483090915
earnings25,64k,ticker_disjoint,v,15,ridge_emotion2vec_audio_pastvol,val,27,0.21899582550140018,0.3710671889606708,-0.01579119997416223,0.6369230769230769,,0.9484514820235567,0.3002498403813819,0.043142246783210006,0.04853261381815223
earnings25,64k,ticker_disjoint,v,15,ridge_wavlm_audio,test,39,0.1791960569229718,0.34571788252431357,-0.05107354500328132,0.22591093117408909,,0.8438506645442073,0.0389198457078449,0.018387803324443248,0.3706490151661745
earnings25,64k,ticker_disjoint,v,15,ridge_wavlm_audio,val,27,0.27819433725182446,0.40948859736963744,-0.2903778371850323,-0.4353846153846153,,0.32292319448945295,0.036647065605611,0.009723272124332903,0.01608565636785291
earnings25,64k,ticker_disjoint,v,15,ridge_wavlm_audio_pastvol,test,39,0.14857244541259587,0.3145630010140798,0.12854908991245295,0.4564777327935223,,0.5851638544920372,0.2109668721841654,0.12289297198335775,0.8002384186657231
