dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_har,dm_p_vs_stage1
maec,combined,dv,3,ridge_text_pastvol,test,102,0.99782276480708,0.7931572851518923,0.15374462621869378,0.3242856219351222,,0.02720934620370668,5.144824826184307e-05,0.02259054388957718
maec,combined,dv,3,ridge_text_pastvol,val,4,0.452048233792392,0.5658975896793266,0.24828798271144792,-0.7999999999999999,,0.4868465150262245,0.36530141422683915,0.9682892459088436
maec,combined,dv,7,mlp_pastvol,test,102,0.36140263951696655,0.45874620060818155,0.4060099309483267,0.5118500730335246,0.0035573179782311384,0.0003629735441055371,0.25545735246613266,0.05786080185239544
maec,combined,dv,7,mlp_pastvol,val,4,0.05722387688778048,0.2088838286769129,0.6073295044473385,0.7999999999999999,0.0035573179782311384,0.4823837967655225,0.7562626866626692,0.6559777440512187
maec,combined,dv,7,mlp_text,test,102,0.8100134514626014,0.6841334413227659,-0.3313127613293678,0.04283206701904168,0.170055161173078,0.007438771794242964,6.250003028259418e-06,0.0004174998150750464
maec,combined,dv,7,mlp_text,val,4,0.6497432643176877,0.7755441049186742,-3.4585411450182884,-0.19999999999999998,0.170055161173078,0.0202066550974242,0.08598766055835907,0.14367600652730617
maec,combined,dv,7,mlp_text_pastvol,test,102,0.7122190147865136,0.5977100741502529,-0.17058088545890437,0.2757314404596584,0.1307988946141677,0.4627284465067444,0.004303796165318607,0.03534191563925445
maec,combined,dv,7,mlp_text_pastvol,val,4,0.27839640887512807,0.47866378232545675,-0.9103573853875246,0.39999999999999997,0.1307988946141677,0.5542878726279301,0.08512906598079278,0.2902840942421272
maec,combined,dv,7,ridge_pastvol,test,102,0.38767407531096026,0.46430118764112643,0.3628310211810438,0.5301872685948046,,0.0010018892740341083,0.0444941391960266,0.3012432117128112
maec,combined,dv,7,ridge_pastvol,val,4,0.05688576500759898,0.18223107363145385,0.6096496296601666,0.7999999999999999,,0.5280097419018224,0.7622303919197779,0.618040479250143
maec,combined,dv,7,ridge_text,test,102,0.603276114187695,0.5957933566522986,0.008474256849606343,0.08548170098939915,,0.8117198792069042,1.3389554469885555e-05,0.021447007260196126
maec,combined,dv,7,ridge_text,val,4,0.13379615629215158,0.32712785691582236,0.08189018550227978,0.19999999999999998,,0.8786371502410281,0.32906288312558174,0.8515778557398787
maec,combined,dv,7,ridge_text_pastvol,test,102,0.5359670141045733,0.5634140830563142,0.11910138746385979,0.27185653548522265,,0.02407968304623151,3.0319102613784615e-05,0.10015400537540466
maec,combined,dv,7,ridge_text_pastvol,val,4,0.11975129406816086,0.3109497586751153,0.17826609201903942,0.7999999999999999,,0.7597209534246224,0.3752120169507219,0.9241253545473789
maec,combined,dv,15,mlp_pastvol,test,102,0.23331596376605712,0.36201525661366996,0.36388238453435995,0.6296228620441096,0.008948640642328034,0.0019982869736061486,0.27139261748663523,0.02623808764546748
maec,combined,dv,15,mlp_pastvol,val,4,0.049668261411300325,0.20612890146014495,0.40604656831706476,0.7999999999999999,0.008948640642328034,0.1083842716819579,0.48617247029364763,0.9494362538969022
maec,combined,dv,15,mlp_text,test,102,0.4815100845558999,0.5138822013679406,-0.3127993552874839,0.0996280590756851,0.14557968701977733,0.025137960495123294,0.0002726550818937048,0.007450750921354263
maec,combined,dv,15,mlp_text,val,4,0.3893839297787413,0.6072256074190627,-3.656412661983201,-0.39999999999999997,0.14557968701977733,0.04326266372532679,0.046459146687439765,0.08312970842258384
maec,combined,dv,15,mlp_text_pastvol,test,102,0.45410217811609527,0.4882097783021729,-0.23807385512035695,0.23934208357202125,0.0896115470362123,0.26835989166577123,0.0007621693235179217,0.01647756817977906
maec,combined,dv,15,mlp_text_pastvol,val,4,0.1701612791574518,0.3750098931108542,-1.0348583345446407,0.7999999999999999,0.0896115470362123,0.22598226920921033,0.12253575396624225,0.18940394855250606
