dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_stage1,dm_p_vs_stage2,dm_p_vs_stage3
fincall,temporal,dv,3,gated_fusion_pastvol,test,481,3.0714715754638355,0.7762399906462565,-1.615599537030548,0.5603861407521586,0.7361921805268998,0.40247306575453917,0.3093880965383811,0.10494097492163139,0.30249088703651866
fincall,temporal,dv,3,gated_fusion_pastvol,val,228,0.8781260968801314,0.7557857373390447,0.31159338688778515,0.3035115089128592,0.7361921805268998,0.002709615806365298,0.00011593332170984654,0.23045289220578602,5.397761387188701e-07
fincall,temporal,dv,3,stack_fusion,test,481,0.9017385446456953,0.6504245258847068,0.2320987311947691,0.6723482257475015,,0.23539156108036077,0.5417021813747075,0.27448123338246305,0.6422737411566637
fincall,temporal,dv,3,stack_fusion,val,228,0.5212299153850083,0.5777737513915719,0.5913820099666844,0.5512387004510035,,6.14539513441791e-07,0.004207502965879317,1.6110955215067997e-05,0.01891606168273828
fincall,temporal,dv,3,stack_fusion_pastvol,test,481,0.9017385446456953,0.6504245258847068,0.2320987311947691,0.6723482257475015,,0.23539156108036077,0.5417021813747075,0.27448123338246305,0.6422737411566637
fincall,temporal,dv,3,stack_fusion_pastvol,val,228,0.5212299153850083,0.5777737513915719,0.5913820099666844,0.5512387004510035,,6.14539513441791e-07,0.004207502965879317,1.6110955215067997e-05,0.01891606168273828
fincall,temporal,dv,7,gated_fusion,test,481,0.5130214719250799,0.578273628875132,-0.22545889942869812,0.07512614728482744,0.04757217724004886,1.5089380604492097e-05,6.25948925627435e-09,0.38574173480406615,0.5056596924996457
fincall,temporal,dv,7,gated_fusion,val,228,0.44526306989534237,0.5212275808594835,-0.26374559100412487,-0.024110248341306137,0.04757217724004886,0.0024563763441425557,1.0436339018485839e-05,2.6321107954538713e-07,6.528474839177028e-07
fincall,temporal,dv,7,gated_fusion_pastvol,test,481,1.8236843837036762,0.537049797187376,-3.3562509174765722,0.45204621276364143,0.22171031531504573,0.33731776877463565,0.303109699437583,0.17970666110684644,0.30052863467554625
fincall,temporal,dv,7,gated_fusion_pastvol,val,228,0.33391098926441776,0.4425294722382914,0.05229387074495484,0.19646141139014353,0.22171031531504573,0.5532753012762173,0.007694534449496265,0.027095961603233538,0.0004955404009692357
fincall,temporal,dv,7,stack_fusion,test,481,0.5552882833526134,0.4512808527470989,-0.32642200340948,0.6159080236980916,,0.6187307981830081,0.38076583577894374,0.2975330422994319,0.24493428898172817
fincall,temporal,dv,7,stack_fusion,val,228,0.21123013830278026,0.36056609003138584,0.4004866470734397,0.13078258742174717,,4.2456624181033865e-07,0.0005863459149834741,6.579382495840955e-05,0.0037435676206310224
fincall,temporal,dv,7,stack_fusion_pastvol,test,481,0.5552882833526134,0.4512808527470989,-0.32642200340948,0.6159080236980916,,0.6187307981830081,0.38076583577894374,0.2975330422994319,0.24493428898172817
fincall,temporal,dv,7,stack_fusion_pastvol,val,228,0.21123013830278026,0.36056609003138584,0.4004866470734397,0.13078258742174717,,4.2456624181033865e-07,0.0005863459149834741,6.579382495840955e-05,0.0037435676206310224
fincall,temporal,dv,15,gated_fusion,test,481,0.2931051749417861,0.43174147759038256,-0.4090663237459635,0.04217621334743621,0.03994305001497238,4.4205839245929046e-10,4.919443373902397e-05,0.3844079242892164,0.3814690746933678
fincall,temporal,dv,15,gated_fusion,val,228,0.23910843125243422,0.38547338790216595,-0.512105725049159,-0.027986575398428373,0.03994305001497238,1.756234326289799e-05,3.469798863325536e-05,3.654927509838368e-06,6.176771603855632e-10
fincall,temporal,dv,15,gated_fusion_pastvol,test,481,1.1146194036764172,0.4378380815082572,-4.3583928220516075,0.30767896135936545,0.14916011973879517,0.2965053607350988,0.30341423057298156,0.13837297502396256,0.10868886082081071
fincall,temporal,dv,15,gated_fusion_pastvol,val,228,0.17523370972581312,0.3153930977964668,-0.10816625875590913,0.16275203083155068,0.14916011973879517,0.34015294299126275,0.036954769067951546,0.09736107185373216,0.0001543717952886353
fincall,temporal,dv,15,stack_fusion,test,481,0.5882430205384721,0.38363961403275393,-1.827904456425887,0.48384198311349813,,0.3406647170530667,0.35675063330270407,0.3123262451070665,0.31120132193987143
fincall,temporal,dv,15,stack_fusion,val,228,0.09808077775582905,0.23940289911351947,0.37974372218899555,0.3200146648383707,,1.0736589656121283e-07,0.00017272811996764146,2.567946310336962e-06,0.021615509831184137
fincall,temporal,dv,15,stack_fusion_pastvol,test,481,0.5882430205384721,0.38363961403275393,-1.827904456425887,0.48384198311349813,,0.3406647170530667,0.35675063330270407,0.3123262451070665,0.31120132193987143
fincall,temporal,dv,15,stack_fusion_pastvol,val,228,0.09808077775582905,0.23940289911351947,0.37974372218899555,0.3200146648383707,,1.0736589656121283e-07,0.00017272811996764146,2.567946310336962e-06,0.021615509831184137
fincall,temporal,dv,30,gated_fusion,test,481,0.2426176133881447,0.39781405074651194,-1.1775708344725029,0.09482502852693911,0.04171868333578215,1.0974553238063915e-19,0.09005738645137026,0.07734930463411813,0.2846316954294206
fincall,temporal,dv,30,gated_fusion,val,228,0.16383273068294707,0.32183225115555186,-1.7923702886400972,-0.12763575925616438,0.04171868333578215,1.1788469297441148e-10,0.7567125988167871,4.2784252959651054e-10,9.889467990524704e-11
fincall,temporal,dv,30,gated_fusion_pastvol,test,481,0.3765302250217708,0.39316575753365185,-2.379479440320146,0.24504228512394727,0.09012126255382394,0.09507488689567886,0.3008317374666859,0.06532941011718336,0.03033535917849951
fincall,temporal,dv,30,gated_fusion_pastvol,val,228,0.154009783482322,0.3140032706903222,-1.6249476631637036,-0.010671499043592103,0.09012126255382394,2.449003322611306e-10,0.9020897738654782,1.2822130429946748e-08,1.2107550925293678e-10
fincall,temporal,dv,30,stack_fusion,test,481,0.11257216761472101,0.25509295619704714,-0.01037128157301681,0.3633450458013209,,0.9097650844615482,4.361143599789421e-08,0.13056759197240064,0.27650675690398885
fincall,temporal,dv,30,stack_fusion,val,228,0.051905620830136646,0.1743775938643637,0.11531894258673614,0.12998730868198233,,0.015401706678460414,2.729196134039261e-10,7.58030488567135e-05,0.0027785719158483603
fincall,temporal,dv,30,stack_fusion_pastvol,test,481,0.11257216761472101,0.25509295619704714,-0.01037128157301681,0.3633450458013209,,0.9097650844615482,4.361143599789421e-08,0.13056759197240064,0.27650675690398885
fincall,temporal,dv,30,stack_fusion_pastvol,val,228,0.051905620830136646,0.1743775938643637,0.11531894258673614,0.12998730868198233,,0.015401706678460414,2.729196134039261e-10,7.58030488567135e-05,0.0027785719158483603
fincall,temporal,har_resid,3,gated_fusion,test,481,0.63621416333658,0.6276861364848005,-0.010624403879825328,0.252846568871143,0.018738420475751708,0.81351598279007,0.004355324753106508,0.16930839112219548,0.8404139697200841
fincall,temporal,har_resid,3,gated_fusion,val,228,0.665266234537696,0.6745589481279319,-0.4206533090840654,-0.1511394248828608,0.018738420475751708,3.895124738872775e-05,0.24108294821546458,3.1483144196876115e-06,6.2226506505786845e-06
fincall,temporal,har_resid,3,gated_fusion_pastvol,test,481,0.8039294077415868,0.6627735972985693,-0.2770395965398782,0.2120607972620065,0.22488179319596657,0.2449003057300536,0.7167259976337357,0.1369443944875307,0.22965558774137787
fincall,temporal,har_resid,3,gated_fusion_pastvol,val,228,0.6300698700725303,0.647803582401396,-0.3454926755673,0.012136213374022816,0.22488179319596657,8.173329916182151e-05,0.5061128676287039,2.0333238896617234e-05,1.7903700614066634e-05
fincall,temporal,har_resid,3,stack_fusion,test,481,0.6237155854856379,0.6039853353668414,0.009229551781440692,0.2609623036044014,,0.6622929470847044,1.5473288740678427e-05,0.010035376368874215,0.47313203684996596
fincall,temporal,har_resid,3,stack_fusion,val,228,0.44945037003321364,0.5429609648631142,0.04021409428594325,-0.012838740820736327,,0.13786779035244537,0.0001306364426281938,0.07145919949873726,0.22042644232552797
