dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_har,dm_p_vs_stage1,dm_p_vs_stage2
fincall,temporal,har_resid,7,mlp_emotion2vec_audio,val,228,0.2767923979547802,0.42839731998536007,-0.41212020959666584,-0.09927380279968431,0.02582751869690623,9.121791624104967e-05,9.121791624104967e-05,0.431745908513312,0.00011391219114424753
fincall,temporal,har_resid,7,mlp_emotion2vec_audio_pastvol,test,481,0.5319783126465661,0.48287104313772455,-1.1525082055223046,0.080811872158412,0.21968783240345957,0.1275912534180504,0.1275912534180504,0.22287217485704186,0.09184155773521695
fincall,temporal,har_resid,7,mlp_emotion2vec_audio_pastvol,val,228,0.26734113025947653,0.413116396145083,-0.363902389246604,-0.14403950221654652,0.21968783240345957,0.00025030600998685336,0.00025030600998685336,0.6664062191178017,0.0003515907364821021
fincall,temporal,har_resid,7,mlp_wavlm_audio,test,481,0.3259364092392463,0.4452198509461674,-0.31881465595020875,0.12430270535928337,0.06908371656283284,3.2594125317490726e-05,3.2594125317490726e-05,0.31241657254292493,1.3615864050798317e-07
fincall,temporal,har_resid,7,mlp_wavlm_audio,val,228,0.24853283276128585,0.39943824885683266,-0.26794752487333984,0.08150233112723736,0.06908371656283284,0.014484239298205689,0.014484239298205689,0.744143306912993,0.005089948039867153
fincall,temporal,har_resid,7,mlp_wavlm_audio_pastvol,test,481,0.3643124988769499,0.4551486176000261,-0.47409325636920174,0.13512377721291322,0.13165224780196777,0.025782945511194262,0.025782945511194262,0.2596165134398908,0.003764978090351177
fincall,temporal,har_resid,7,mlp_wavlm_audio_pastvol,val,228,0.2567089113207294,0.4089880055122935,-0.3096596739581803,-0.14024406451263166,0.13165224780196777,0.0006562970841492133,0.0006562970841492133,0.9914608238615089,0.00016228082491555305
fincall,temporal,har_resid,7,mlp_wavlm_egemaps_audio,test,481,0.4641630019775157,0.4732087123193534,-0.8781116573830268,0.056760061581701216,0.1650592337374209,0.06492976025882703,0.06492976025882703,0.17436002294226347,0.040964106218370475
fincall,temporal,har_resid,7,mlp_wavlm_egemaps_audio,val,228,0.26149861347232617,0.4044803450094434,-0.3340954433513965,0.00907122801346355,0.1650592337374209,0.001086393006794366,0.001086393006794366,0.8272794422986163,0.0005683068132403707
fincall,temporal,har_resid,7,mlp_wavlm_egemaps_audio_pastvol,test,481,0.5380110502348125,0.4913729647218823,-1.176918067450437,0.09300369641049609,0.12121080207654104,0.056039483742932585,0.056039483742932585,0.12474626023929908,0.03629464481971485
fincall,temporal,har_resid,7,mlp_wavlm_egemaps_audio_pastvol,val,228,0.2571293041038081,0.41541531245100927,-0.3118044046275932,-0.09884046519455375,0.12121080207654104,0.0018101728902430111,0.0018101728902430111,0.9937538274368154,0.0010316039851918312
fincall,temporal,har_resid,7,mlp_wavlm_text_audio_pastvol,test,481,0.34740907567946505,0.43287831744921934,-0.40569806756349713,0.14869529824159514,0.15314733478087214,0.12509618471865258,0.12509618471865258,0.5090352158575764,0.04183516650449801
fincall,temporal,har_resid,7,mlp_wavlm_text_audio_pastvol,val,228,0.3174030582650257,0.45152235030095006,-0.619304852574222,-0.08631357389797002,0.15314733478087214,1.5824879513628156e-05,1.5824879513628156e-05,0.03845959074705877,5.712415182869204e-07
fincall,temporal,har_resid,7,ridge_egemaps_audio,test,481,0.24666281586373606,0.39958948956157525,0.0019447738338993492,0.05299145816980054,,0.7720827976864992,0.7720827976864992,1.9782525017845195e-06,0.002560093519427802
fincall,temporal,har_resid,7,ridge_egemaps_audio,val,228,0.1979796185210948,0.3537951624815505,-0.010038651594579173,0.003915468544125708,,0.38880828251119,0.38880828251119,7.029346539619998e-05,0.5259414923192076
fincall,temporal,har_resid,7,ridge_egemaps_audio_pastvol,test,481,0.2497069287085153,0.4011356883115837,-0.010372416023568531,0.05420833304707816,,0.5243720970697691,0.5243720970697691,1.7708871407533057e-05,3.3103482760609345e-05
fincall,temporal,har_resid,7,ridge_egemaps_audio_pastvol,val,228,0.19791972779898148,0.35373964488339577,-0.009733105272900833,-0.01062107434950646,,0.41094871681070216,0.41094871681070216,6.938537088498642e-05,0.5276696278698487
fincall,temporal,har_resid,7,ridge_emotion2vec_audio,test,481,0.2491512318220779,0.40174840051943755,-0.008123936941989207,0.08763338191782055,,0.5510459944541153,0.5510459944541153,8.911124759403097e-06,0.0018199624380288615
fincall,temporal,har_resid,7,ridge_emotion2vec_audio,val,228,0.19517732701185642,0.35296851074386393,0.004257884374675225,0.12128893029118085,,0.8549725085530339,0.8549725085530339,8.471111576823451e-05,0.7660532692308882
fincall,temporal,har_resid,7,ridge_emotion2vec_audio_pastvol,test,481,0.2525096528002842,0.40346608033389986,-0.021712890742047852,0.08320908199728551,,0.29143442093920535,0.29143442093920535,7.175008855688284e-05,2.4944213023052516e-05
fincall,temporal,har_resid,7,ridge_emotion2vec_audio_pastvol,val,228,0.19517855983795163,0.3528410965737291,0.004251594828225125,0.12109245260032958,,0.8564202042577735,0.8564202042577735,8.594908428969041e-05,0.7652815345642003
fincall,temporal,har_resid,7,ridge_wavlm_audio,test,481,0.24462128862646,0.39941453271651667,0.010205268717933369,0.16202146113945984,,0.7345133064327382,0.7345133064327382,2.6480350424787045e-05,0.01971713171588555
fincall,temporal,har_resid,7,ridge_wavlm_audio,val,228,0.19451532796992282,0.34838705993324937,0.007635225055833583,0.0638788942989993,,0.8652051561506123,0.8652051561506123,0.00011342364178526918,0.8048878932185165
fincall,temporal,har_resid,7,ridge_wavlm_audio_pastvol,test,481,0.2882711474853994,0.40676130202746974,-0.16641223077434408,0.16488700418791583,,0.37446446268039896,0.37446446268039896,0.7496785339315439,0.1259791112156982
fincall,temporal,har_resid,7,ridge_wavlm_audio_pastvol,val,228,0.19518296757033307,0.34963088582629764,0.004229107765645668,0.04935048280884738,,0.9250699883002508,0.9250699883002508,0.00013308688907436868,0.7499838978939856
fincall,temporal,har_resid,7,ridge_wavlm_egemaps_audio,test,481,0.24444774135238875,0.3990553612024522,0.01090748142586484,0.11484859930800088,,0.5283135017609587,0.5283135017609587,2.7521631727751303e-06,0.00749813857828692
fincall,temporal,har_resid,7,ridge_wavlm_egemaps_audio,val,228,0.19965618642033728,0.3514420866284956,-0.01859204912563439,-0.005722384642114581,,0.5114272990056161,0.5114272990056161,0.00014758648108727888,0.41055069356702817
fincall,temporal,har_resid,7,ridge_wavlm_egemaps_audio_pastvol,test,481,0.24695720317852232,0.40039118360416837,0.0007536141651403039,0.1129506391543082,,0.9717543522891171,0.9717543522891171,1.3484308327329724e-05,0.0003872749922346582
fincall,temporal,har_resid,7,ridge_wavlm_egemaps_audio_pastvol,val,228,0.1997787502643063,0.3516626625248161,-0.01921733682252702,-0.0064618552240457774,,0.49873889106860303,0.49873889106860303,0.00015450161225495626,0.4010971777432985
fincall,temporal,har_resid,7,ridge_wavlm_text_audio_pastvol,test,481,0.22308864094228828,0.3751270539594595,0.09733137842006656,0.32779612168204475,,0.0023531336819030643,0.0023531336819030643,2.044582870428142e-08,0.77521644987741
fincall,temporal,har_resid,7,ridge_wavlm_text_audio_pastvol,val,228,0.19814472588055124,0.3563699976759303,-0.010880984840594188,0.046347809063487955,,0.8377424363690922,0.8377424363690922,0.0007492924545270815,0.06470663336918572
fincall,temporal,har_resid,15,mlp_egemaps_audio,test,481,0.20155707078038584,0.3596534206741655,-0.22159319558634594,0.018812422762105444,0.3558744995256925,6.941657335001655e-05,6.941657335001655e-05,0.2707960662818863,1.2845117630299128e-07
fincall,temporal,har_resid,15,mlp_egemaps_audio,val,228,0.14122540335741018,0.27564249757937964,-0.4106530848731962,-0.09773729646197762,0.3558744995256925,0.04938775369568833,0.04938775369568833,0.8504563977476026,0.0356666484905866
fincall,temporal,har_resid,15,mlp_egemaps_audio_pastvol,test,481,1.0082059734773292,0.40950055424961385,-5.110515260917683,0.0417574534131238,0.9896885744664726,0.16226430299055944,0.16226430299055944,0.18901224393634258,0.15001866505245903
fincall,temporal,har_resid,15,mlp_egemaps_audio_pastvol,val,228,0.21207309669525465,0.2724121083641871,-1.1183268800065735,0.138950284524178,0.9896885744664726,0.2826892325263933,0.2826892325263933,0.46984257944226554,0.2644010196950533
fincall,temporal,har_resid,15,mlp_emotion2vec_audio,test,481,0.2382228742883378,0.3876238948367639,-0.44381658820958725,0.06263805113643567,0.02943993602924941,1.0360496365002663e-07,1.0360496365002663e-07,0.15199522746779573,2.3878172782656886e-10
fincall,temporal,har_resid,15,mlp_emotion2vec_audio,val,228,0.1677523385253346,0.32008541165765303,-0.6756217239229383,0.10652612370541854,0.02943993602924941,2.2876582762212777e-05,2.2876582762212777e-05,0.08368815058486527,2.2244906396663215e-06
fincall,temporal,har_resid,15,mlp_emotion2vec_audio_pastvol,test,481,0.4045793871247053,0.4195345209063319,-1.4520669231422931,0.06491035875324011,0.20309448179002712,0.10206448445801238,0.10206448445801238,0.19768441494224545,0.06862243000714398
fincall,temporal,har_resid,15,mlp_emotion2vec_audio_pastvol,val,228,0.1487881874749595,0.30688874051628134,-0.4861951933892643,-0.013587446145585678,0.20309448179002712,5.1704821606564716e-05,5.1704821606564716e-05,0.4552961240394677,2.1887955742208515e-05
fincall,temporal,har_resid,15,mlp_wavlm_audio,test,481,0.2501100417374084,0.3936044720045344,-0.515862102734862,0.1104505333709005,0.059807223761243866,2.150248048614114e-08,2.150248048614114e-08,0.04131962958410817,4.171467685160814e-11
fincall,temporal,har_resid,15,mlp_wavlm_audio,val,228,0.13304665880494335,0.28722382691577303,-0.32895835461189415,0.4777297845940007,0.059807223761243866,0.021758023676895638,0.021758023676895638,0.8194895282943172,0.00728067435889432
fincall,temporal,har_resid,15,mlp_wavlm_audio_pastvol,test,481,0.31018100440264956,0.40526846722233684,-0.8799390312199782,0.14166190991190614,0.13851080120014225,0.03566626305228807,0.03566626305228807,0.17334336462486746,0.011169573763258651
fincall,temporal,har_resid,15,mlp_wavlm_audio_pastvol,val,228,0.1377835600920531,0.2936517981650746,-0.37627366938207185,0.174130728819401,0.13851080120014225,0.0016198319866807251,0.0016198319866807251,0.9676432012653874,0.0005877003989293532
fincall,temporal,har_resid,15,mlp_wavlm_egemaps_audio,test,481,0.2821642083952615,0.425760843016505,-0.7101353759463449,0.05582288211070962,0.06050270854338305,2.998883521639019e-10,2.998883521639019e-10,0.0009906280987856723,1.1494423298643403e-12
fincall,temporal,har_resid,15,mlp_wavlm_egemaps_audio,val,228,0.16013189829827904,0.3036385394265464,-0.5995037079086212,0.3981561990564242,0.06050270854338305,0.003751590173203916,0.003751590173203916,0.28829923089418125,0.0025541976785159715
