stage,dataset,split,target,horizon,segment,n,r2_oos,mse,dm_p_vs_stage1,holm_p_vs_stage1
S2_text,fincall,temporal,dv,3,test,481,-1.6784776353837887,3.1453086782301303,0.2957362871995242,1.0
S2_text,fincall,temporal,dv,3,val,228,0.3684415197737369,0.8056110627488038,0.0089800744321251,
S3_audio,fincall,temporal,dv,3,test,481,0.214278634009403,0.9226645010858748,0.406942298263466,1.0
S3_audio,fincall,temporal,dv,3,val,228,0.5377833185755667,0.5895999873347568,0.7428979211839707,
S4_fusion,fincall,temporal,dv,3,test,481,0.2320987311947691,0.9017385446456953,0.5417021813747075,1.0
S4_fusion,fincall,temporal,dv,3,val,228,0.5913820099666844,0.5212299153850083,0.0042075029658793,
S0_HAR,fincall,temporal,dv,7,test,481,0.4096462590804609,0.247143453986268,,
S0_HAR,fincall,temporal,dv,7,val,228,0.4436789835703291,0.1960119231165444,,
S0_persistence,fincall,temporal,dv,7,test,481,0.0,0.4186362122501599,,
S0_persistence,fincall,temporal,dv,7,val,228,0.0,0.3523360026455586,,
S1_GBDT,fincall,temporal,dv,7,test,481,0.2475353442242339,0.3150089533460871,,
S1_GBDT,fincall,temporal,dv,7,val,228,0.2627894138798182,0.2597458310215741,,
S2_text,fincall,temporal,dv,7,test,481,-3.0757324172811997,1.7062491813157894,0.3131260315502577,1.0
S2_text,fincall,temporal,dv,7,val,228,0.2027267614221425,0.2809080658968011,0.3362802870171308,
S3_audio,fincall,temporal,dv,7,test,481,-1.0990291119403124,0.8787295968255093,0.3076823456033471,1.0
S3_audio,fincall,temporal,dv,7,val,228,0.2956360986976265,0.248172761392709,0.6900508306599581,
S4_fusion,fincall,temporal,dv,7,test,481,-0.32642200340948,0.5552882833526134,0.3807658357789437,1.0
S4_fusion,fincall,temporal,dv,7,val,228,0.4004866470734397,0.2112301383027802,0.0005863459149834,
S0_HAR,fincall,temporal,dv,15,test,481,0.2068060692773959,0.1649952467880615,,
S0_HAR,fincall,temporal,dv,15,val,228,0.3668889865926963,0.1001134898947213,,
S0_persistence,fincall,temporal,dv,15,test,481,0.0,0.208013753506346,,
S0_persistence,fincall,temporal,dv,15,val,228,0.0,0.1581294398211876,,
S1_GBDT,fincall,temporal,dv,15,test,481,-0.0568492062022144,0.2198391702723249,,
S1_GBDT,fincall,temporal,dv,15,val,228,0.1449237912172035,0.1352127218992485,,
S2_text,fincall,temporal,dv,15,test,481,-3.585700610291497,0.953888796403076,0.3351911224852425,1.0
S2_text,fincall,temporal,dv,15,val,228,0.0653567472835874,0.147794613984699,0.3751671484862949,
S3_audio,fincall,temporal,dv,15,test,481,-3.706055491718733,0.9789242670415668,0.3339244156623381,1.0
S3_audio,fincall,temporal,dv,15,val,228,0.2846158482208106,0.1131232951777986,0.1413387503763064,
S4_fusion,fincall,temporal,dv,15,test,481,-1.827904456425887,0.5882430205384721,0.356750633302704,1.0
S4_fusion,fincall,temporal,dv,15,val,228,0.3797437221889955,0.098080777755829,0.0001727281199676,
S0_HAR,fincall,temporal,dv,30,test,481,-0.2871470699385527,0.1434095944179391,,
S0_HAR,fincall,temporal,dv,30,val,228,-0.7017807918188745,0.0998461397765606,,
S0_persistence,fincall,temporal,dv,30,test,481,0.0,0.1114166343281855,,
S0_persistence,fincall,temporal,dv,30,val,228,0.0,0.0586715634919374,,
S1_GBDT,fincall,temporal,dv,30,test,481,-0.9036312347132184,0.212096185173755,,
S1_GBDT,fincall,temporal,dv,30,val,228,-1.710497153740802,0.1590291058504191,,
S2_text,fincall,temporal,dv,30,test,481,-0.4679406660427956,0.1635530084039633,0.3406177392611851,1.0
S2_text,fincall,temporal,dv,30,val,228,-0.1895180791631516,0.0697908855064283,9.591088589095946e-07,
S3_audio,fincall,temporal,dv,30,test,481,-0.5475833121485187,0.1724265239820537,0.5907729261860296,1.0
S3_audio,fincall,temporal,dv,30,val,228,-0.0186117840088244,0.0597635459591093,6.717929697408428e-09,
S4_fusion,fincall,temporal,dv,30,test,481,-0.0103712815730168,0.112572167614721,4.3611435997894216e-08,1.7444574399157686e-07
S4_fusion,fincall,temporal,dv,30,val,228,0.1153189425867361,0.0519056208301366,2.7291961340392607e-10,
S0_HAR,fincall,temporal,har_resid,3,test,481,0.0,0.6295258267009284,,
S0_HAR,fincall,temporal,har_resid,3,val,228,0.0,0.4682819026174736,,
S0_persistence,fincall,temporal,har_resid,3,test,481,0.0,0.6295258267009284,,
S0_persistence,fincall,temporal,har_resid,3,val,228,0.0,0.4682819026174736,,
S1_GBDT,fincall,temporal,har_resid,3,test,481,-0.1993285448224117,0.7550082936653502,,
S1_GBDT,fincall,temporal,har_resid,3,val,228,-0.2829617614785028,0.6007877746506186,,
S2_text,fincall,temporal,har_resid,3,test,481,0.0509172378731308,0.5974721104355178,2.409332980360173e-06,
S2_text,fincall,temporal,har_resid,3,val,228,-0.0154926683121097,0.4755368388112899,0.0067287730718852,
S3_audio,fincall,temporal,har_resid,3,test,481,-0.0015945248120456,0.6305296212514266,5.15146350687044e-05,
S3_audio,fincall,temporal,har_resid,3,val,228,0.0122867879893425,0.4625282221607668,0.0002989126496247,
S4_fusion,fincall,temporal,har_resid,3,test,481,0.0092295517814406,0.6237155854856379,1.5473288740678427e-05,
S4_fusion,fincall,temporal,har_resid,3,val,228,0.0402140942859432,0.4494503700332136,0.0001306364426281,
S0_HAR,fincall,temporal,har_resid,7,test,481,0.0,0.247143453986268,,
S0_HAR,fincall,temporal,har_resid,7,val,228,0.0,0.1960119231165444,,
S0_persistence,fincall,temporal,har_resid,7,test,481,0.0,0.247143453986268,,
S0_persistence,fincall,temporal,har_resid,7,val,228,0.0,0.1960119231165444,,
S1_GBDT,fincall,temporal,har_resid,7,test,481,-0.2396410257232295,0.3063691648003191,,
S1_GBDT,fincall,temporal,har_resid,7,val,228,-0.3255205155884072,0.2598178253909172,,
S2_text,fincall,temporal,har_resid,7,test,481,0.0945042757110057,0.2237873408705795,2.320662729067957e-08,
S2_text,fincall,temporal,har_resid,7,val,228,0.0200871837162183,0.1920745956063331,0.000210233452689,
S3_audio,fincall,temporal,har_resid,7,test,481,0.0007536141651403,0.2469572031785223,1.3484308327329724e-05,
S3_audio,fincall,temporal,har_resid,7,val,228,-0.019217336822527,0.1997787502643063,0.0001545016122549,
S4_fusion,fincall,temporal,har_resid,7,test,481,0.0240695411558168,0.2411948244491548,1.0262933217142574e-06,
S4_fusion,fincall,temporal,har_resid,7,val,228,0.0625272001117772,0.1837558463755419,4.687681006002433e-06,
S0_HAR,fincall,temporal,har_resid,15,test,481,0.0,0.1649952467880615,,
S0_HAR,fincall,temporal,har_resid,15,val,228,0.0,0.1001134898947213,,
S0_persistence,fincall,temporal,har_resid,15,test,481,0.0,0.1649952467880615,,
S0_persistence,fincall,temporal,har_resid,15,val,228,0.0,0.1001134898947213,,
S1_GBDT,fincall,temporal,har_resid,15,test,481,-0.3193667143653868,0.2176892366406708,,
S1_GBDT,fincall,temporal,har_resid,15,val,228,-0.3917160489250578,0.1393295506003802,,
S2_text,fincall,temporal,har_resid,15,test,481,0.1203223398619621,0.14514263262842,5.6529208979261645e-11,
S2_text,fincall,temporal,har_resid,15,val,228,0.0461995525547523,0.0954882914568904,0.0007696534749382,
S3_audio,fincall,temporal,har_resid,15,test,481,-0.013858226681702,0.1672817883194538,2.4793782566951293e-07,
S3_audio,fincall,temporal,har_resid,15,val,228,0.0129403352492289,0.0988179877725133,6.027576627190264e-05,
S4_fusion,fincall,temporal,har_resid,15,test,481,0.025813026607216,0.1607362200926571,1.0492899483932304e-09,
S4_fusion,fincall,temporal,har_resid,15,val,228,0.1155907690422399,0.0885412946062879,5.919790951259466e-06,
S0_HAR,fincall,temporal,har_resid,30,test,481,0.0,0.1434095944179391,,
S0_HAR,fincall,temporal,har_resid,30,val,228,0.0,0.0998461397765606,,
S0_persistence,fincall,temporal,har_resid,30,test,481,0.0,0.1434095944179391,,
S0_persistence,fincall,temporal,har_resid,30,val,228,0.0,0.0998461397765606,,
S1_GBDT,fincall,temporal,har_resid,30,test,481,-0.4584290689536141,0.2091527212659704,,
S1_GBDT,fincall,temporal,har_resid,30,val,228,-0.5821974783416624,0.1579763105766233,,
S2_text,fincall,temporal,har_resid,30,test,481,0.1707527883898612,0.1189220062892169,8.211452154303355e-13,
S2_text,fincall,temporal,har_resid,30,val,228,0.2305495236783267,0.0768266598099549,1.2243662400456585e-06,
S3_audio,fincall,temporal,har_resid,30,test,481,-0.010665179992463,0.1449390835550526,5.691644660844411e-09,
S3_audio,fincall,temporal,har_resid,30,val,228,-0.022399770278022,0.1020826703707028,0.0003625953391366,
S4_fusion,fincall,temporal,har_resid,30,test,481,0.2092729527131259,0.1133978451467052,4.113307979732088e-13,
S4_fusion,fincall,temporal,har_resid,30,val,228,0.3462789307527449,0.065271525254944,4.7366176541561273e-08,
S0_HAR,fincall,temporal,v,3,test,481,0.4639092629014275,0.6295258267009284,,
S0_HAR,fincall,temporal,v,3,val,228,0.632890584042574,0.4682819026174736,,
S0_persistence,fincall,temporal,v,3,test,481,0.0,1.1742896922786703,,
S0_persistence,fincall,temporal,v,3,val,228,0.0,1.2755921865860853,,
S1_GBDT,fincall,temporal,v,3,test,481,0.354156137943714,0.7584077900341443,,
S1_GBDT,fincall,temporal,v,3,val,228,0.5280632017458446,0.6019988924154543,,
S2_text,fincall,temporal,v,3,test,481,0.4481662876266539,0.648012640291893,0.0014792402412871,
S2_text,fincall,temporal,v,3,val,228,0.6042713918979563,0.504788320503554,0.0321461518404776,
S3_audio,fincall,temporal,v,3,test,481,0.3382624965300473,0.7770715293189864,0.7423989134417317,
S3_audio,fincall,temporal,v,3,val,228,0.5889880359456495,0.5242836499411304,0.057731817190685,
S4_fusion,fincall,temporal,v,3,test,481,0.4475883362144297,0.6486913226779056,0.000876149568013,
S4_fusion,fincall,temporal,v,3,val,228,0.6223323298120553,0.4817499292179129,0.000430131606832,
S0_HAR,fincall,temporal,v,7,test,481,0.4096462590804609,0.247143453986268,,
S0_HAR,fincall,temporal,v,7,val,228,0.4436789835703291,0.1960119231165444,,
S0_persistence,fincall,temporal,v,7,test,481,0.0,0.4186362122501599,,
S0_persistence,fincall,temporal,v,7,val,228,0.0,0.3523360026455586,,
S1_GBDT,fincall,temporal,v,7,test,481,0.2623363630270019,0.308812710897053,,
S1_GBDT,fincall,temporal,v,7,val,228,0.2656726887663967,0.2587299494735088,,
S2_text,fincall,temporal,v,7,test,481,0.3282545084639465,0.2812169881727752,0.1115212192430369,
S2_text,fincall,temporal,v,7,val,228,0.3835832357731091,0.2171858186714125,0.0353589213598913,
S3_audio,fincall,temporal,v,7,test,481,0.2209905600716925,0.3261215612387051,0.3482021137423645,
S3_audio,fincall,temporal,v,7,val,228,0.3481210549407081,0.2296804217109946,0.1359896830114235,
S4_fusion,fincall,temporal,v,7,test,481,0.3698675489651011,0.2637962625171594,0.0232205476813085,
S4_fusion,fincall,temporal,v,7,val,228,0.4283176679356245,0.2014242676626529,0.0001208696426496,
S0_HAR,fincall,temporal,v,15,test,481,0.2068060692773959,0.1649952467880615,,
